ID,PlayerID,MatchID,fromMinutes,toMinutes
1,1,1,0,NULL
2,2,1,0,90
3,6,1,0,90
4,4,1,0,90
5,18,1,0,90
6,8,1,0,80
7,23,1,0,46
8,10,1,0,74
9,21,1,0,90
10,17,1,0,63
11,7,1,0,63
12,13,1,74,NULL
13,19,1,63,NULL
14,5,1,46,90
15,25,1,80,NULL
16,9,1,63,90
17,27,1,0,NULL
18,28,1,0,NULL
19,29,1,0,NULL
20,30,1,0,NULL
21,32,1,0,77
22,33,1,0,67
23,34,1,0,67
24,36,1,0,46
25,37,1,0,NULL
26,39,1,0,82
27,41,1,0,44
28,31,1,46,NULL
29,35,1,82,NULL
30,40,1,67,NULL
31,49,1,67,NULL
32,52,1,77,NULL
33,53,2,0,NULL
34,54,2,0,46
35,56,2,0,79
36,57,2,0,NULL
37,58,2,0,NULL
38,60,2,0,67
39,62,2,0,NULL
40,63,2,0,79
41,65,2,0,NULL
42,71,2,0,NULL
43,72,2,0,NULL
44,61,2,79,NULL
45,66,2,46,NULL
46,67,2,67,NULL
47,76,2,79,NULL
48,79,2,0,NULL
49,81,2,0,68
50,83,2,0,NULL
51,86,2,0,86
52,88,2,0,NULL
53,91,2,0,NULL
54,95,2,0,74
55,96,2,0,68
56,97,2,0,86
57,98,2,0,NULL
58,100,2,0,NULL
59,80,2,68,NULL
60,85,2,74,NULL
61,94,2,86,NULL
62,103,2,68,NULL
63,104,2,86,NULL
64,127,3,0,NULL
65,106,3,0,NULL
66,107,3,0,NULL
67,108,3,0,NULL
68,111,3,0,67
69,112,3,0,NULL
70,120,3,0,86
71,121,3,0,68
72,123,3,0,86
73,124,3,0,59
74,128,3,0,NULL
75,110,3,68,NULL
76,114,3,59,NULL
77,115,3,86,NULL
78,122,3,86,NULL
79,125,3,67,NULL
80,131,3,0,NULL
81,132,3,0,NULL
82,133,3,0,NULL
83,134,3,0,NULL
84,136,3,0,NULL
85,137,3,0,NULL
86,138,3,0,65
87,139,3,0,72
88,140,3,0,65
89,141,3,0,NULL
90,146,3,0,56
91,144,3,56,NULL
92,145,3,65,NULL
93,147,3,72,NULL
94,155,3,65,NULL
95,157,4,0,NULL
96,158,4,0,NULL
97,159,4,0,NULL
98,161,4,0,NULL
99,163,4,0,NULL
100,164,4,0,NULL
101,165,4,0,NULL
102,166,4,0,NULL
103,170,4,0,NULL
104,174,4,0,NULL
105,179,4,0,NULL
106,205,4,0,NULL
107,185,4,0,NULL
108,186,4,0,NULL
109,187,4,0,NULL
110,188,4,0,NULL
111,191,4,0,NULL
112,192,4,0,NULL
113,193,4,0,NULL
114,197,4,0,NULL
115,202,4,0,NULL
116,203,4,0,NULL
117,313,5,0,NULL
118,314,5,0,NULL
119,317,5,0,NULL
120,322,5,0,NULL
121,325,5,0,NULL
122,326,5,0,NULL
123,328,5,0,NULL
124,331,5,0,NULL
125,332,5,0,NULL
126,333,5,0,NULL
127,338,5,0,NULL
128,339,5,0,NULL
129,342,5,0,NULL
130,343,5,0,NULL
131,344,5,0,NULL
132,345,5,0,NULL
133,348,5,0,NULL
134,349,5,0,NULL
135,352,5,0,NULL
136,354,5,0,NULL
137,360,5,0,NULL
